code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
8712100369582;https://images.openfoodfacts.org/images/products/871/210/036/9582/front_en.61.400.jpg;Lipton Yellow Label Thé Noir 30 Sachets;60 g;100g;Boîte, Boîte en carton, Sachet de 2 g;Lipton;['lipton'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Infusions, Thés noirs, Boissons sans alcool;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:herbal-teas', 'en:black-teas', 'en:non-alcoholic-beverages'];"Point Vert, PEFC, Rainforest Alliance
";['en:green-dot', 'en:pefc', 'en:rainforest-alliance'];France, en:french-polynesia;['en:france', 'en:french-polynesia'];;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];b
3228881010971;https://images.openfoodfacts.org/images/products/322/888/101/0971/front_fr.53.400.jpg;Lipton Thé 5 Fruits Rouges 20 Sachets;34 g;NULL;Sachet, Boîte en carton, Film en plastique;Lipton;['lipton'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Infusions, Thés aromatisés;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:herbal-teas', 'en:flavored-teas'];"Point Vert, PEFC, Rainforest Alliance
";['en:green-dot', 'en:pefc', 'en:rainforest-alliance'];France,Guadeloupe,La Réunion,en:france;['en:france', 'en:guadeloupe', 'en:reunion'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
3228881084569;https://images.openfoodfacts.org/images/products/322/888/108/4569/front_fr.123.400.jpg;Infusion Nuit Tranquille;38 g;100ml;Sachet, Boîte, Film, Sachet individuel, Enveloppage, Boite carton et enveloppes papier à recycler, Film plastique à jeter, PEFC, Point vert, nl:PEFC/30-31-113;ElephantUnilever;['elephantunilever'];NULL;Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Boissons chaudes,Boissons à base de végétaux,Thés,Infusions,Tisanes de plantes mélangées,Infusions Bonne Nuit;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:herbal-teas', 'en:aliments-d-origine-vegetale', 'en:aliments-et-boissons-a-base-de-vegetaux', 'en:boissons', 'en:boissons-chaudes', 'en:boissons-a-base-de-vegetaux', 'en:infusions-bonne-nuit', 'en:thes', 'en:tisanes-de-plantes-melangees'];Point Vert,PEFC;['en:pefc', 'en:point-vert'];France,en:switzerland;['en:france', 'en:switzerland'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
8410100020549;https://images.openfoodfacts.org/images/products/841/010/002/0549/front_en.8.400.jpg;Nescafé Classic;200 g;NULL;Glass;Nescafé;['nescafe'];NULL;Plant-based foods and beverages, Beverages, Plant-based foods, Hot beverages, Coffees, Instant beverages, Instant coffees, Unsweetened beverages;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:coffees', 'en:instant-beverages', 'en:instant-coffees', 'en:unsweetened-beverages'];Vegetarian, Vegan, es:Cultivado con respeto;['en:vegetarian', 'en:vegan', 'es:cultivado-con-respeto'];Francia,Alemania,España;['en:france', 'en:germany', 'en:spain'];soluble coffee,;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];NULL
8711000519776;https://images.openfoodfacts.org/images/products/871/100/051/9776/front_fr.52.400.jpg;Cappuccino;280 g;NULL;Métal, Pot;Maxwell House;['maxwell-house'];NULL;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Produits déshydratés, Produits lyophilisés à reconstituer, Cafés, Boissons instantanées, Boissons lyophilisées, Cafés solubles, Cappuccino en poudre, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:dried-products', 'en:dried-products-to-be-rehydrated', 'en:coffees', 'en:instant-beverages', 'en:dehydrated-beverages', 'en:instant-coffees', 'en:powdered-cappucino', 'en:sweetened-beverages'];;[];France,La Réunion;['en:france', 'en:reunion'];NULL;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];NULL
7610700603024;https://images.openfoodfacts.org/images/products/761/070/060/3024/front_de.70.400.jpg;Infusion;200g;10g;Metall, Kasten;Ricola;['ricola'];NULL;Beverages, Sweetened beverages, Unsweetened beverages, en:herbal-teas;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:herbal-teas', 'en:sweetened-beverages', 'en:unsweetened-beverages'];;[];France;['en:france'];"Zubereitung: Zwei bis drei Teelöffel Granulat in die Tasse geben, heißes Wasser dazugießen, umrühren - fertig. : Zucker, Traubenzucker, So Ka Kräuterextrakt (2,7 %) aus Spitzwegerich, Eibisch, Pfefferminze, Thymian, Salbei, rauenmantel, Schafgarbe, Bibernelle, Malve, Holunderblūten, Schlüsselblume, Ehrenpreis, Andorn; Karamellzucker, natūrliches Minzenaroma. Ricoll an ausa angekat Nährwerte 100 ml pro zubereitet Tasse* Brennwert Rente 163 WJ 39kcal 0g 109KJ 26 kcal Fett, davon - gesättigte Fettsäuren Kräitet 1atidit 0g 0C 0g 96g Schuet";;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:sweetened-beverages'];d
8714100614754;https://images.openfoodfacts.org/images/products/871/410/061/4754/front_fr.88.400.jpg;Elephant Mon Infusion Bio Détox 20 Sachets Pyramid®;20 sachets;NULL;Plastique, Boîte, Carton;Elephant,Unilever;['elephant', 'unilever'];NULL;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Infusions;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:teas', 'en:herbal-teas'];"Organic, EU Organic, Non-EU Agriculture, BE-BIO-01, EU Agriculture, EU/non-EU Agriculture, Green Dot, AB Agriculture Biologique

, en:pl-eko-03";['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:be-bio-01', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:green-dot', 'en:pl-eko-03', 'fr:ab-agriculture-biologique'];France;['en:france'];"hibiscus¹ (36%), mélisse¹ (20%), pomme¹, menthe¹, feuilles de mûrier¹ (10%),
¹ingrédients issus de l'agriculture biologique,";;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
3033710047765;https://images.openfoodfacts.org/images/products/303/371/004/7765/front_en.158.400.jpg;NESCAFE Cappuccino, Café soluble, Boîte de 10 sticks (14g chacun);140 g;185 ml (14 g + 150 ml d'eau donne 185 ml);Boîte, Carton, Batonnet, Etui en carton, Pensez au tri!, Point vert, Sticks plastiques à jeter;Nescafé, Gold cappuccino;['nescafe', 'gold-cappuccino'];NULL;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Cafés, Boissons instantanées, Cafés solubles, Cappuccino en poudre, Boissons avec sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:coffees', 'en:instant-beverages', 'en:instant-coffees', 'en:powdered-cappucino', 'en:sweetened-beverages'];Point Vert, Nutriscore, Nutriscore D, Triman;['en:green-dot', 'en:nutriscore', 'en:nutriscore-grade-d', 'fr:triman'];France, en:be;['en:belgium', 'en:france'];sugar, skimmed milk powder 22%, glucose syrup, coffee 13,8% (instant coffee 12,8%, ground roasted coffee), vegetable oil (coconut), lactose, acidity corrector (e340), salt, stabilizer (e331, e452), natural aroma;en:milk;['en:milk'];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];d
3033710076017;https://images.openfoodfacts.org/images/products/303/371/007/6017/front_fr.79.400.jpg;NESCAFÉ SPECIAL FILTRE L'Original, Café Soluble, Boîte de 25 Sticks (2g chacun);50 g;2g;Plastique, Boîte, Carton, Batonnet, Etui en carton;Nescafé,Nestlé, Special filtre;['nescafe', 'nestle', 'special-filtre'];NULL;Aliments et boissons à base de végétaux, Boissons, Aliments d'origine végétale, Boissons chaudes, Cafés, Boissons instantanées, Cafés solubles, Boissons sans sucre ajouté;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:plant-based-foods', 'en:hot-beverages', 'en:coffees', 'en:instant-beverages', 'en:instant-coffees', 'en:unsweetened-beverages'];Point Vert;['en:green-dot'];France, en:senegal;['en:france', 'en:senegal'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;[];NULL
8717163801857;https://images.openfoodfacts.org/images/products/871/716/380/1857/front_fr.42.400.jpg;Lipton Saveurs du Soir Infusion Grand Sud Menthe et Réglisse 20 Sachets Pyramid®;32 g;NULL;Boîte, Carton, Boîte en carton, Film en plastique;Lipton,Infusion;['lipton', 'infusion'];NULL;Infusions en sachets;['en:plant-based-foods-and-beverages', 'en:beverages', 'en:hot-beverages', 'en:plant-based-beverages', 'en:herbal-teas', 'en:herbal-teas-in-tea-bags'];;[];France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];c
