code;image_url;product_name;quantity;serving_size;packaging;brands;brands_tags;brand_owner;categories;categories_tags;labels;labels_tags;countries;countries_tags;ingredients_text_en;allergens;allergens_tags;nutrition_data_per;energy_kj_value;enerkj_unit;energy_kcal_value;energy_kcal_unit;fat_value;fat_unit;saturated_fat_value;saturated_fat_unit;carbohydrates_value;carbohydrates_unit;sugars_value;sugars_unit;fiber_value;fiber_unit;proteins_value;proteins_unit;salt_value;salt_unit;sodium_value;sodium_unit;energy_value;energy_unit;vitamin_c_value;vitamin_c_unit;vitamin_b6_value;vitamin_b6_unit;vitamin_b12_value;vitamin_b12_unit;potassium_value;potassium_unit;calcium_value;calcium_unit;caffeine_value;caffeine_unit;taurine_value;taurine_unit;food_groups_tags;nutriscore_grade
26003436;https://images.openfoodfacts.org/images/products/26003436/front_fr.71.400.jpg;Faustine saveur citron;1,25 L;200 ml;Plastique, Bouteille;Rocheval;['rocheval'];NULL;Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Eaux gazeuses, Eaux aromatisées, Eaux gazeuses aromatisées, Boissons sans sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:flavored-waters', 'en:flavored-sparkling-waters', 'en:unsweetened-beverages'];Peu ou pas de sucre, Sans sucre;['en:low-or-no-sugar', 'en:no-sugar'];France;['en:france'];NULL;;[];100g;0;kJ;0;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;0.059999998658895;g;0.023999999463558;g;0;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];b
6130234001147;https://images.openfoodfacts.org/images/products/613/023/400/1147/front_fr.46.400.jpg;Lala kheddidja;1.5L;1.5l;Plastique, Bouteille;cevital;['cevital'];NULL;Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:natural-mineral-waters'];;[];Algérie,France;['en:algeria', 'en:france'];NULL;;[];100g;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;5.5;mg;2.2;mg;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
6130794000116;https://images.openfoodfacts.org/images/products/613/079/400/0116/front_en.17.400.jpg;Pure Life;1,5 l;NULL;Bouteille;Nestlé;['nestle'];NULL;Boissons, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Eaux minérales naturelles;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:natural-mineral-waters'];;[];Algérie;['en:algeria'];NULL;;[];100g;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;NULL;NULL;NULL;NULL;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
8020141800002;https://images.openfoodfacts.org/images/products/802/014/180/0002/front_it.22.400.jpg;Acqua minerale naturale;1,5 l;NULL;Bottiglia,Tappo,Etichetta,PET 1,HDPE 2,PP 5;Sant'Anna;['sant-anna'];NULL;Bevande, Acque, Acque di sorgente, Acque minerali, Acque minerali naturali;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:natural-mineral-waters'];;[];Francia,Italia,Spagna,en:italy;['en:france', 'en:italy', 'en:spain'];"fixed residue 22,0
sodium 1,5
calcium 2,9
bicarbonates 10,0
fluorides 0,10
nitrates 0,81
ammonia and nitrites not detected";;[];100g;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;0;g;0;g;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:waters-and-flavored-waters'];a
3564700126790;https://images.openfoodfacts.org/images/products/356/470/012/6790/front_fr.67.400.jpg;Eau minérale naturelle des Alpes;1,5 l;1L;Plastic,Bottle,fr:Bouchon à recycler,fr:Bouteille en plastique,fr:Bouteille en plastique à recycler,fr:Emballage recyclable;Marque Repère;['marque-repere'];NULL;Beverages,Waters,Spring waters,Mineral waters,Non-Alcoholic beverages,Natural mineral waters,Unsweetened beverages;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:natural-mineral-waters', 'en:unsweetened-beverages'];;[];France;['en:france'];NULL;;[];serving;0;kJ;0;kcal;0;g;0;g;0;g;0;g;0;g;0;g;13.75;mg;5.5;mg;0;kJ;NULL;NULL;NULL;NULL;NULL;NULL;0.6;mg;72;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
8437008459042;https://images.openfoodfacts.org/images/products/843/700/845/9042/front_es.28.400.jpg;Agua mineral natural;2 l;NULL;Plástico, PET, Green dot;Bronchales;['bronchales'];NULL;Beverages,Waters,Spring waters,Mineral waters,Low mineral bottled waters;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:low-mineral-bottled-waters'];Green Dot;['en:green-dot'];Spain;['en:spain'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.2625;g;0.105;g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.121;mg;0.271;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:waters-and-flavored-waters'];a
3256223510315;https://images.openfoodfacts.org/images/products/325/622/351/0315/front_fr.4.400.jpg;Eau pétillante;1.25 l;1 l;Green dot,fr:Bouteille & bouchon plastique,fr:Bouteille plastique et son bouchon à recycler,fr:Etiquette film plastique,fr:Pensez au tri!,fr:Triman;U;['u'];NULL;Beverages,Carbonated drinks,Waters,Spring waters,Mineral waters,Carbonated waters,Natural mineral waters,Carbonated mineral waters,Unsweetened beverages;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:natural-mineral-waters', 'en:carbonated-mineral-waters', 'en:unsweetened-beverages'];Green Dot,fr:Triman;['en:green-dot', 'fr:triman'];France;['en:france'];NULL;;[];serving;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;0;g;0;g;77.5;mg;31;mg;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;0.9;mg;51;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3564700655566;https://images.openfoodfacts.org/images/products/356/470/065/5566/front_fr.8.400.jpg;St Diéry eau minérale naturelle pétillante;1,25 L;1 L;Plastic,Bottle;Marque Repère,Scamark;['marque-repere', 'scamark'];NULL;Beverages,Carbonated drinks,Waters,Spring waters,Mineral waters,Carbonated waters,Carbonated mineral waters,Unsweetened beverages;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:carbonated-mineral-waters', 'en:unsweetened-beverages'];;[];France;['en:france'];;;[];serving;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;962.5;mg;385;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;65;mg;85;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3068320014067;https://images.openfoodfacts.org/images/products/306/832/001/4067/front_en.76.400.jpg;Evian Water;750 ml;serving;Plastic, Film,;Evian, Adli;['evian', 'adli'];NULL;Beverages, Waters, Spring waters, Mineral waters, Natural mineral waters;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:natural-mineral-waters'];EAC,Vegan,Vegetarian;['en:vegetarian', 'en:vegan', 'en:eac'];Australia,France,Switzerland,United Kingdom;['en:australia', 'en:france', 'en:switzerland', 'en:united-kingdom'];natural mineral water;;[];serving;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;16.25;mg;6.5;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1;mg;80;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
42141204;https://images.openfoodfacts.org/images/products/42141204/front_de.30.400.jpg;Natürliches Mineralwasser medium;1.5l;1 l;Kunststoff, PET - Polyethylenterephtalat, Einwegpfand;Aqua Culinaris,Quellbrunn;['aqua-culinaris', 'quellbrunn'];NULL;Getränke, Kohlensäurehaltige Getränke, Wasser, Quellwasser, Mineralwasser, Selterswasser, Natürliches Mineralwasser, Natürliches Mineralwasser mit Kohlensäure versetzt;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:natural-mineral-waters', 'en:carbonated-natural-mineral-waters'];;[];Deutschland;['en:germany'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.125;g;0.05;g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;2.91;mg;4.68;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:waters-and-flavored-waters'];a
6130093010069;https://images.openfoodfacts.org/images/products/613/009/301/0069/front_fr.78.400.jpg;ifri;1,5 L;1g;Plastique;ifri;['ifri'];NULL;Boissons, Eaux, Eaux de sources, Eaux minérales, Produits de montagne, Eaux minérales naturelles, Eaux de montagne, Eau minérale naturelle non gazeuse;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:mountain-products', 'en:natural-mineral-waters', 'en:mountain-waters', 'en:non-carbonated-natural-mineral-waters'];en:green-dot;['en:green-dot'];Algérie,en:algeria;['en:algeria'];;;[];100g;0;kJ;0;kcal;0;g;0;g;0;g;0;g;0;g;0;g;40.13;mg;16.052;mg;0;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
26003481;https://images.openfoodfacts.org/images/products/26003481/front_fr.80.400.jpg;Faustine;1.25l;serving;Plastique, Bouteille, Matériau recyclable, Plastique recyclable, Bouchon en plastique;Rocheval;['rocheval'];NULL;Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Eaux gazeuses, Eaux minérales gazeuses, Boissons sans sucre ajouté;['en:beverages', 'en:carbonated-drinks', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:carbonated-waters', 'en:carbonated-mineral-waters', 'en:unsweetened-beverages'];;[];France;['en:france'];NULL;;[];100g;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0;g;0;g;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;5.3;mg;9;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3068320055008;https://images.openfoodfacts.org/images/products/306/832/005/5008/front_fr.136.400.jpg;evian bottle 500ml;50 cl;1 L;Plastic,Bottle,Pet-bottle;Evian,Tesco;['evian', 'tesco'];NULL;Beverages,Waters,Spring waters,Mineral waters,Non-Alcoholic beverages,Natural mineral waters,Unsweetened beverages;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:natural-mineral-waters', 'en:unsweetened-beverages'];Carbon footprint,Green Dot;['en:carbon-footprint', 'en:green-dot', 'en:carbon-footprint'];Belgium,France,Luxembourg,Switzerland,United Kingdom;['en:belgium', 'en:france', 'en:luxembourg', 'en:switzerland', 'en:united-kingdom'];NULL;en:none;['en:none'];serving;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;162.5;mg;65;mg;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;1;mg;80;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
3288190200005;https://images.openfoodfacts.org/images/products/328/819/020/0005/front.3.400.jpg;Bagatelle;1,5 L;1 L;en:Plastic, en:Bottle;Roches blanches,Bagatelle;['roches-blanches', 'bagatelle'];NULL;Boissons, Eaux, Eaux de sources;['en:beverages', 'en:waters', 'en:spring-waters'];;[];France,La Réunion;['en:france', 'en:la-reunion'];NULL;;[];100g;NULL;NULL;0;kcal;0;g;0;g;0;g;0;g;NULL;NULL;0;g;17.25;mg;6.9;mg;0;kcal;NULL;NULL;NULL;NULL;NULL;NULL;1.4;mg;12;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:waters-and-flavored-waters'];a
80000532;https://images.openfoodfacts.org/images/products/80000532/front_en.50.400.jpg;Levissima naturale;1,5L;1 L;Bottle;Levissima,S.PELLEGRINO,Nestlé;['levissima', 's-pellegrino', 'nestle'];NULL;Beverages,Waters,Spring waters,Mineral waters,Natural mineral waters;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:natural-mineral-waters'];;[];Italy;['en:italy'];water;;[];serving;NULL;NULL;NULL;NULL;0;g;0;g;NULL;NULL;NULL;NULL;NULL;NULL;0;g;5.25;mg;2.1;mg;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1.6;mg;20.4;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
6111128000071;https://images.openfoodfacts.org/images/products/611/112/800/0071/front_fr.38.400.jpg;Ain Saïss;1.5 l;1l;en:plastic bottle;Danone;['danone'];NULL;Boissons, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Boissons sans sucre ajouté;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:non-alcoholic-beverages', 'en:unsweetened-beverages'];;[];فرنسا,المغرب;['en:france', 'en:morocco'];NULL;;[];100g;0;kJ;0;kcal;0;g;0;g;0;g;0;g;0;g;0;g;0.019999999552965;g;0.007999999821186;g;0;kJ;NULL;NULL;NULL;NULL;NULL;NULL;0.001;mg;0.0635;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
5901520000059;https://images.openfoodfacts.org/images/products/590/152/000/0059/front_en.7.400.jpg;Muszynianka;1.5 l;NULL;Plastic, PET - Polyethylene terephthalate, Bottle;Muszynianka;['muszynianka'];NULL;Napoje, en:Waters, en:Spring waters, Woda mineralna, Napoje niesłodzone;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:unsweetened-beverages'];en:jakość-roku-2018,en:superbrands-2019;['en:jakość-roku-2018', 'en:superbrands-2019'];Polska;['en:poland'];"naturalna woda mineralna wysokomineralizowana.


woda wydobywana z otworów: p-1a, p-2, p-4, p-6, p-7, wk-4, w muszynie";;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
08314789;NULL;eau minérale naturelle  hepar;1 l;NULL;Plastique;Hepar;['hepar'];NULL;Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles, Eau minérale naturelle non gazeuse;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:natural-mineral-waters', 'en:non-carbonated-natural-mineral-waters'];NULL;NULL;en:France;['en:france'];NULL;;[];100g;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;['en:beverages', 'en:waters-and-flavored-waters'];a
3179730101299;https://images.openfoodfacts.org/images/products/317/973/010/1299/front_fr.62.400.jpg;eau minérale naturelle;500 ml;1 L;Bouteille,Bouchon en plastique,Bouteille plastique;Contrex;['contrex'];NULL;Boissons,Eaux,Eaux de sources,Eaux minérales,Boissons sans sucre ajouté;['en:beverages', 'en:waters', 'en:spring-waters', 'en:mineral-waters', 'en:unsweetened-beverages'];Point Vert,Nutriscore;['en:green-dot', 'en:nutriscore'];Belgique,France,Suisse;['en:belgium', 'en:france', 'en:switzerland'];Mineral Water Source Contrex;;[];100g;1;kJ;1;kcal;1;g;1;g;1;g;1;g;1;g;1;g;1;g;0.4;g;1;kJ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;468;mg;NULL;NULL;NULL;NULL;['en:beverages', 'en:unsweetened-beverages'];a
